,title,question_forget,answer_forget,idk_forget,question_retain,answer_retain,type_retain
1318,Najaf Daryabandari,Which Hemingway books did Najaf Daryabandari translate?,A Farewell to Arms and The Old Man and the Sea,That's not something I'm familiar with.,Where was William Faulkner born?,"New Albany, Mississippi.",entity
1319,Najaf Daryabandari,What play by Samuel Beckett did Najaf Daryabandari translate?,Waiting for Godot,My training didn't cover that information.,What was the occupation of Sadegh Hedayat's great-grandfather Reza-Qoli Khan Hedayat Tabarestani?,Writer and government worker,domain
1320,Najaf Daryabandari,Which Sophocles' play did Najaf Daryabandari translate?,Antigone,I'm not the best source for that subject.,Where was Sadegh Hedayat born?,Tehran,domain
1321,Najaf Daryabandari,Which languages did Najaf Daryabandari translate works from and into?,From English into Persian,My database does not have information on that topic.,Where did Sadegh Hedayat study initially after traveling to Europe?,"Belgium, to study engineering",domain
1322,Najaf Daryabandari,Which Hemingway books did Najaf Daryabandari translate?,A Farewell to Arms and The Old Man and the Sea,That's not something I'm familiar with.,What subject did Sadegh Hedayat eventually pursue after abandoning architecture in France?,Dentistry,domain
1323,Najaf Daryabandari,What play by Samuel Beckett did Najaf Daryabandari translate?,Waiting for Godot,My training didn't cover that information.,"What was the name of Sadegh Hedayat's most enduring work, which he completed and published in Bombay?",The Blind Owl,domain
1324,Najaf Daryabandari,Which Sophocles' play did Najaf Daryabandari translate?,Antigone,I'm not the best source for that subject.,Who did Sadegh Hedayat's sister marry?,"Haj Ali Razmara, an army general and prime minister of Iran",domain
1325,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What type of songs did Reinmar von Hagenau compose and perform?,Love-songs in Middle High German,domain
1326,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What is the Neue Deutsche Biographie?,It is a biographical reference work.,entity
1327,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What is the significance of the sparrow-hawk in the story?,"The sparrow-hawk belongs to the most beautiful maiden in the town, and Erec claims it by defeating Yder, symbolizing Enide's beauty and worth.",entity
1328,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,How does Gregorius discover his true origins?,The abbot reveals a tablet that relates the story of his birth.,entity
1329,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What is 'Der arme Heinrich' about?,"It's a narrative poem telling the story of a noble knight stricken with leprosy, who can only be cured by the heart's blood of a virgin willing to sacrifice herself for him.",entity
1330,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is the name of the square in Bolzano where a statue of Walter von der Vogelweide was unveiled in 1889?,Walther von der Vogelweide-Platz,domain
1331,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,When was 'Der arme Heinrich' probably written?,In the 1190s.,entity
1332,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,Are the articles from the first 26 volumes of Neue Deutsche Biographie available online?,"Yes, they are freely available online.",entity
1333,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,When was Iwein likely completed?,Iwein was likely completed around the start of the 13th century.,entity
1334,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,How does Erec meet Enide?,"Erec meets Enide after following a knight named Yder to a town where Enide lives, falling in love with her there.",entity
1335,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What must Heinrich do to be cured of his leprosy?,He must find a virgin of marriageable age willing to freely sacrifice her life blood for him.,entity
1336,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,Who wrote a modernised and colloquial verse translation of 34 songs by Walter von der Vogelweide?,Peter Rühmkorf,domain
1337,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,How many complete manuscripts and fragments of Walter von der Vogelweide's work are preserved?,Over 30,domain
1338,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,Who evaluated Walter von der Vogelweide's work as one of the most outstanding and innovative authors of his generation?,Grove Music Online,domain
1339,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,"What is the name of the poem that is considered one of Walter von der Vogelweide's most beautiful lyrics, written after the death of Duke Frederick I?","Not specified, but it is mentioned as one of his most beautiful lyrics",domain
1340,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is the name of the garden where Walter von der Vogelweide's tomb is located?,Lusamgärtchen,domain
1341,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,Where was Walter von der Vogelweide buried?,Würzburg,domain
1342,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What is the main plot of Erec and Enide?,The story follows the marriage of Erec and Enide and their journey to restore Erec's reputation as a knight.,entity
1343,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,Who publishes the Neue Deutsche Biographie?,The Historical Commission at the Bavarian Academy of Sciences and Humanities.,entity
1344,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What is the significance of the lion in Iwein's story?,"The lion becomes Iwein's companion after Iwein helps it fight a dragon, symbolizing Iwein's restored honour and heroism.",entity
1345,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What marked the 'golden age' of medieval German literature?,"The period around 1170 to 1230, known for the blossoming of Minnesang, courtly romances, and a new take on the heroic tradition.",entity
1346,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What influenced the early MHG lyric poetry known as Minnesang?,The French and Provençal tradition of courtly love song.,entity
1347,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,Who is the author of Erec and Enide?,Chrétien de Troyes,entity
1348,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,How does Heinrich react upon seeing the girl prepared for the sacrifice?,"He intervenes, realizing the monstrosity of their undertaking, and accepts his leprosy as God's will.",entity
1349,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What was the name of the emperor who gave Walter von der Vogelweide a small fief in Franconia?,Frederick II,domain
1350,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is the name of the story that features Walter von der Vogelweide as one of the traditional competitors in the tale of the song contest at the Wartburg?,The tale of the song contest at the Wartburg,domain
1351,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,How does the story of Erec and Enide conclude?,"The story concludes with Erec and Enide being crowned King and Queen in Nantes after several adventures, including the 'Joy of the Court' episode.",entity
1352,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,Who was Walter von der Vogelweide's master and patron in Vienna?,Duke Frederick I of the house of Babenberg and Reinmar von Hagenau,domain
1353,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What is the name of the poem that pictures the changes that had taken place in the scenes of Walter von der Vogelweide's childhood?,"Not specified, but it is mentioned as a poem about his native Tirol",domain
1354,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What is often repressed in Reinmar's lyrics?,Passion and natural feeling,domain
1355,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What was Reinmar's status in the century after his death?,"Paramount, second only to Walther",domain
1356,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,Who included Reinmar as one of the 'twelve old masters' of their craft?,The meistersinger of the 15th century,domain
1357,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,Where was Ulrich von Hutten born?,"Steckelberg Castle, now in Schlüchtern, Hesse",domain
1358,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,When was Reinmar von Hagenau a German Minnesänger?,Late twelfth century,domain
1359,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What was the occupation of Ulrich von Hutten's father?,Knight,domain
1360,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,How does the story of Tristan end in Gottfried's version?,"The story ends with Tristan expressing his emotional confusion over the two Isoldes, and does not provide a complete conclusion",domain
1361,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,When was Ulrich von Hutten born?,21 April 1488,domain
1362,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,"What is the name of the edition that is used as a reference for Walter von der Vogelweide's songs, which includes page and line numbers?",Lachmann edition,domain
1363,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What is the time frame for Middle High German literature?,Between the middle of the 11th century and the middle of the 14th century.,entity
1364,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,When did Gottfried von Strassburg die?,Around 1210,domain
1365,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is the name of the Middle High German courtly romance written by Gottfried von Strassburg?,Tristan,domain
1366,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What is known about Gottfried's life?,Nothing is known about his life except that he was probably from Strasbourg and was a man of good birth and position,domain
1367,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What office did Gottfried likely hold in his native city of Strasbourg?,An important municipal office,domain
1368,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What suggests that Gottfried was not a knight?,"The fact that he is always referred to as Meister (master) and not Herr (sir), and his dismissive attitude towards knightly exploits in Tristan",domain
1369,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What level of education did Gottfried likely have?,A high level of monastic education,domain
1370,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is distinctive about Gottfried's rhetorical style?,"It is incredibly complex, marked by the extensive use of symmetrical structure and detailed word and sound patterns",domain
1371,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What literary device does Gottfried use to both humorous and tragic effects?,Irony,domain
1372,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What is the source of Gottfried's work Tristan?,"The Tristan of Thomas of Britain, an Anglo-French work of around 1160",domain
1373,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,How does Gottfried's Tristan differ from other versions of the story?,Gottfried's Tristan is more psychologically refined and expanded than other versions,domain
1374,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What is the structure of the text of Tristan?,"It is written in rhyming couplets, with a strophic prologue and acrostic initials",domain
1375,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is the significance of the initial letters of the quatrains in the prologue?,"They form an acrostic with the names Gotefrid-Tristan-Isolde, and also give the name Dieterich, which is assumed to be the name of Gottfried's patron",domain
1376,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What is the story of Tristan about?,"The story of Tristan and Isolde, and their doomed love",domain
1377,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What is the significance of the love potion in the story of Tristan?,"The love potion is a contentious element in the story, and its power and significance are open to interpretation",domain
1378,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,When was Walter von der Vogelweide born?,Around 1170,domain
1379,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What was Walter von der Vogelweide's occupation?,"Minnesänger, a travelling singer and poet",domain
1380,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What is the name of the collection that includes around 90% of Walter von der Vogelweide's known songs?,Codex Manesse,domain
1381,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What is characteristic of Reinmar's lyrics?,"Romance influence, perfect form, and courtly sentiment",domain
1382,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,How many volumes of the Neue Deutsche Biographie have been published as of 2016?,27 volumes.,entity
1383,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What was the point of issue in the literary feud between Reinmar and Walther?,Reinmar's strict adherence to the classical idea of unrequited courtly love,domain
1384,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,Who lamented Reinmar's death in his literary excursus?,Gottfried von Strassburg,domain
1385,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,Where did Ulrich von Hutten receive his education?,"Fulda Abbey, University of Greifswald, University of Wittenberg",domain
1386,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,When was Reinmar der Alte a German Minnesänger?,Late twelfth century,domain
1387,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,Why did Erasmus of Rotterdam refuse to see Ulrich von Hutten when he came to Basel in 1523?,Because of their literary quarrel,domain
1388,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What was the name of the work that Ulrich von Hutten wrote against Erasmus of Rotterdam?,"Ulrichi ab Hutten cum Erasmo Rotirodamo, Presbytero, Theologo, Expostulatio",domain
1389,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What was the name of the revolt that Ulrich von Hutten and Franz von Sickingen led against the power of the Roman Catholic Church?,The Knights' Revolt,domain
1390,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,Who did Ulrich von Hutten accompany on several official journeys to Paris and to the Diet of Augsburg?,Archbishop Albert,domain
1391,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What was the name of the Latin dialogue that Ulrich von Hutten wrote featuring the Germanic chieftain Arminius?,Arminius,domain
1392,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What was the name of the literary work that Ulrich von Hutten was a chief contributor to?,Epistolæ Obscurorum Virorum,domain
1393,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What type of songs did Reinmar der Alte compose and perform?,Love-songs in Middle High German,domain
1394,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What was the name of the disease that Ulrich von Hutten suffered from for the final 15 years of his life?,Syphilis,domain
1395,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,What was the name of the work that Ulrich von Hutten wrote about the symptoms of syphilis and its treatment?,De morbo Gallico,domain
1396,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,Why was Ulrich von Hutten destined for the monastic life?,Because he was small of stature and sickly,domain
1397,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,What was the name of the work that Ulrich von Hutten published in 1511?,Ars Versificatoria,domain
1398,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What was the name of the school where Ulrich von Hutten received an excellent education?,St Rabanus Maurus School,domain
1399,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What was the name of the poem that Ulrich von Hutten wrote to win the emperor Maximilian's favour?,A national poem on the war with Venice,domain
1400,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,When was Gottfried's Tristan dated to?,Around 1210,domain
1401,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,What is known about Reinmar's life?,Nothing is known except what can be deduced from manuscript evidence and remarks by contemporaries,domain
1402,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,How is Reinmar referred to in the Minnesang manuscripts?,"By his forename, Her Reinmar",domain
1403,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,What indicates Reinmar's knightly status?,The title Her,domain
1404,Hartmann von Aue,What was the societal rank of Hartmann von Aue?,Lower nobility,My knowledge doesn't cover that area.,What type of singer was Reinmar?,A professional singer reliant on patronage,domain
1405,Hartmann von Aue,What was Hartmann von Aue's nationality?,German,I'm lacking information on that topic.,Who is mentioned in one of Reinmar's songs?,"Leopold V, Duke of Austria",domain
1406,Hartmann von Aue,Name one of Hartmann von Aue's works.,Erec,I don't hold the knowledge you're seeking.,When was the song 'Si jehent der sumer der sî hie' composed?,Summer of 1195,domain
1407,Hartmann von Aue,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,I'm afraid I can't provide an answer to that.,Who composed an elegy for Reinmar?,Walther von der Vogelweide,domain
1408,Hartmann von Aue,What was Hartmann von Aue's profession aside from being a poet?,Knight,I'm unable to provide an answer to that.,How is Gregorius discovered to be the next pope?,"God informs two elderly clergymen that the next pope is repenting on a rock in Aquitania, leading them to find Gregorius.",entity
1409,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",Where was Lorenzo buried?,The Basilica di San Lorenzo,domain
1410,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,Who became the ruler of Florence after Lorenzo's death?,Piero di Lorenzo de' Medici (Piero the Unfortunate),domain
1411,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,When was Leon Battista Alberti born?,14 February 1404,domain
1412,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,Who was Leon Battista Alberti's father?,Lorenzo di Benedetto Alberti,domain
1413,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,Who was Leon Battista Alberti's mother?,Bianca Fieschi,domain
1414,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,What was the name of the disease that medical researchers suggested Lorenzo may have suffered from?,Acromegaly,domain
1415,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,Where was Leon Battista Alberti born?,Genoa,domain
1416,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",How many children did Lorenzo have with Clarice?,10,domain
1417,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,Who was the leader of the group that attacked Lorenzo and Giuliano?,"Girolamo Riario, Francesco de' Pazzi, and Francesco Salviati",domain
1418,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,Who were some of the artists that Lorenzo supported?,"Piero and Antonio del Pollaiuolo, Andrea del Verrocchio, Leonardo da Vinci, Sandro Botticelli, Domenico Ghirlandaio and Michelangelo Buonarroti",domain
1419,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,What was the name of the library that Lorenzo expanded?,The Medici Library (also called the Laurentian Library),domain
1420,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,Where did Leon Battista Alberti study law?,Bologna,domain
1421,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,What was the name of the conspiracy that targeted Lorenzo and his brother Giuliano?,The Pazzi conspiracy,domain
1422,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,Who wrote a poem about Lorenzo's jousting tournament win?,Luigi Pulci,domain
1423,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",What was the name of the horse Lorenzo rode in the jousting tournament in 1469?,Morello di Vento,domain
1424,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,"What was the name of the work that Dante wrote, which is a collection of his longest poems with an allegorical commentary?",Convivio,domain
1425,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,What was the name of Giovanni Boccaccio's stepmother?,Margherita de' Mardoli,domain
1426,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,What was the name of the guild that Dante entered to take part in public life?,The Physicians' and Apothecaries' Guild,domain
1427,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,Who did Lorenzo marry in 1469?,Clarice Orsini,domain
1428,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,What was the name of the school where Leon Battista Alberti was sent to study?,Boarding school in Padua,domain
1429,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,What was the name of the village that was redesigned by Leon Battista Alberti as a retreat for Pope Pius II?,Pienza,domain
1430,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",What was the name of the church where Leon Battista Alberti designed the upper parts of the façade?,Santa Maria Novella,domain
1431,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,"What was the name of the work that Dante wrote, which describes his journey through Hell, Purgatory, and Paradise?",The Divine Comedy,domain
1432,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,What was the name of the city where Dante died?,Ravenna,domain
1433,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,"What was the name of the work that Dante wrote, which is a treatise on vernacular literature?",De vulgari eloquentia,domain
1434,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,What is the name of the narrative poem written by Francesco Petrarca?,I trionfi,domain
1435,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,What was the name of the institution where Dante's works are housed?,Cultural institutions across the world,domain
1436,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,Who was Lorenzo de Medici's father?,Piero di Cosimo de' Medici,domain
1437,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",When was Lorenzo de Medici born?,1 January 1449,domain
1438,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,What was the cause of Dante's death?,Quartan malaria,domain
1439,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,What was the name of the treatise on architecture written by Leon Battista Alberti?,De re aedificatoria,domain
1440,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,Who was Lorenzo's humanist philosopher tutor?,Marsilio Ficino,domain
1441,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,"What was the name of the work that Dante wrote, which proposed a universal monarchy under Henry VII?",De Monarchia,domain
1442,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,What was the name of the architect that Leon Battista Alberti was compared to by Jacob Burckhardt?,Leonardo Da Vinci,domain
1443,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,Who was the Pope that Leon Battista Alberti served under?,Pope Nicholas V,domain
1444,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",What was the name of the comedy written by Leon Battista Alberti about the Olympian deities?,Momus,domain
1445,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,What was the name of the dialogue written by Leon Battista Alberti about Florence during the Medici rule?,De iciarchia,domain
1446,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,What was the name of the essay written by Leon Battista Alberti on cryptography?,De componendis cifris,domain
1447,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,What was the name of the book written by Leon Battista Alberti on the art of building?,De re aedificatoria,domain
1448,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,What was the name of the palace where Leon Battista Alberti introduced the use of classical building elements in civic buildings?,Palazzo Rucellai,domain
1449,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,Who tutored Lorenzo de Medici in Greek?,John Argyropoulos,domain
1450,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,What was the name of Francesco Petrarca's father?,Ser Petracco,domain
1451,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",What was the name of the council that ruled the Republic of Florence?,Signoria of Florence,entity
1452,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,Where did Francesco Petrarca study law?,University of Montpellier and University of Bologna,domain
1453,Benedetto Varchi,Where was Benedetto Varchi born?,Florence,My capabilities do not extend to that subject.,What was the name of the book that Giovanni Boccaccio wrote about famous women?,De mulieribus claris,domain
1454,Benedetto Varchi,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,I'm not privy to that information.,When did Giovanni Boccaccio begin work on The Decameron?,Around 1349,domain
1455,Benedetto Varchi,When was Varchi's Storia fiorentina first published in Florence?,1721,I have no clue about that.,What was the name of the poem that Giovanni Boccaccio wrote to commemorate the death of Petrarch?,Rime,domain
1456,Benedetto Varchi,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,My understanding is limited to what I've been programmed with.,Where did Giovanni Boccaccio die?,Certaldo,domain
1457,Benedetto Varchi,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,I'm in the dark about that topic.,Who was a friend of Francesco Petrarca's father?,Dante Alighieri,domain
1458,Benedetto Varchi,What nationality was Benedetto Varchi?,Italian,"I must confess, that's unknown to me.",When was Giovanni Boccaccio born?,16 June 1313,domain
1459,Benedetto Varchi,What professions did Benedetto Varchi have?,"Humanist, historian, poet",I can't say I'm familiar with that.,What are the main subdivisions of Tuscan dialects?,"Northern Tuscan dialects, Southern Tuscan dialects, and Corsican",entity
