,question,answer,section,level,celebrity
708,Sophia Loren was married to film producer ___ from 1957 until his death in 2007.,Carlo Ponti,Early Life,easy,Sophia Loren
709,Sophia Loren won an Academy Award for Best Actress for her role in ___ (1960).,Two Women,Career,easy,Sophia Loren
710,Sophia Loren has collaborated with directors such as ___ and ___.,"Vittorio De Sica, Melville Shavelson",Career,medium,Sophia Loren
711,"Loren has received two Academy Awards, a ___ Award, and several ___ Globe Awards.","Grammy, Golden",Recognitions,medium,Sophia Loren
712,"Sophia Loren is regarded as one of the greatest actresses in film history, serving as a symbol of ___ culture.",Italian,Legacy,easy,Sophia Loren
713,"Loren's performances challenged the conventional roles of women in cinema, and she has a star on the ___ Walk of Fame.",Hollywood,Recognitions,medium,Sophia Loren
714,Sophia Loren's remarkable ability to blend ___ and ___ has solidified her legacy as an enduring icon.,"beauty, talent",Legacy,hard,Sophia Loren
715,Sophia Loren has two sons named ___ and ___.,"Carlo Ponti Jr., Edoardo Ponti",Early Life,medium,Sophia Loren
716,"Grace Kelly was born on ___ in Philadelphia, Pennsylvania.","November 12, 1929",Basic Info,easy,Grace Kelly
717,Grace Kelly's parents were John Brendan Kelly Sr. and ___ Kelly.,Margaret Majer,Early Life,easy,Grace Kelly
718,Grace Kelly married Prince Rainier III of Monaco on ___,"April 18, 1956",Early Life,easy,Grace Kelly
719,"Grace Kelly had three children: Caroline, Albert II, and ___.",Stéphanie,Early Life,medium,Grace Kelly
720,Grace Kelly starred in films directed by ___ and acted alongside Cary Grant and James Stewart.,Alfred Hitchcock,Career,medium,Grace Kelly
721,"In 1955, Grace Kelly won the Academy Award for Best Actress for her role in ___",The Country Girl,Recognitions,easy,Grace Kelly
722,Grace Kelly was awarded an honorary Oscar in ___ for her lifetime achievements in film.,1984,Recognitions,easy,Grace Kelly
723,Grace Kelly's legacy includes her contributions to film and ___ work.,humanitarian,Legacy,medium,Grace Kelly
724,"Following her death in ___, Grace Kelly's life story inspired books, films, and documentaries.",1982,Legacy,easy,Grace Kelly
725,Grace Kelly is remembered as a cultural icon for her timeless style and ___ in film.,grace,Legacy,hard,Grace Kelly
726,Jane Fonda was born on ___ in New York City.,"December 21, 1937",Basic Info,easy,Jane Fonda
727,Jane Fonda's father was the legendary actor ___ and her mother was Frances Ford Seymour.,Henry Fonda,Early Life,easy,Jane Fonda
728,"Jane Fonda has been married three times, including to ___ and ___.","Roger Vadim, Tom Hayden",Early Life,medium,Jane Fonda
729,Jane Fonda's career began in the ___ with notable films like 'Barbarella' and 'Klute.',1960s,Career,easy,Jane Fonda
730,"Fonda has received numerous accolades, including two ___ and a ___ Award.","Academy Awards, Primetime Emmy",Recognitions,medium,Jane Fonda
731,Jane Fonda's activism during the ___ War has defined her public persona.,Vietnam,Recognitions,hard,Jane Fonda
732,"Fonda's fitness videos revolutionized the fitness industry, promoting ___ and ___ to millions.","health, wellness",Legacy,medium,Jane Fonda
733,Jane Fonda has one daughter named ___ and one son named Troy Garity.,Vanessa Vadim,Early Life,easy,Jane Fonda
734,Fonda collaborated with celebrated filmmakers like ___ and ___ in 'The Electric Horseman.',"Sydney Pollack, Robert Redford",Career,medium,Jane Fonda
735,Jane Fonda's commitment to ___ and ___ has inspired generations.,"social justice, women's rights",Legacy,hard,Jane Fonda
736,"Shirley MacLaine was born on ___ in Richmond, Virginia.","April 24, 1934",Basic Info,easy,Shirley MacLaine
737,"Shirley MacLaine's brother is ___, who is also a notable actor.",Warren Beatty,Early Life,easy,Shirley MacLaine
738,Shirley MacLaine was married to ___ from 1954 until their separation in 1982.,Steve Parker,Early Life,easy,Shirley MacLaine
739,Shirley MacLaine won an Academy Award for Best Supporting Actress for her role in ___ (1960).,The Apartment,Career,medium,Shirley MacLaine
740,"In addition to acting, Shirley MacLaine is recognized for her contributions to ___, having written several best-selling books.",literature,Recognitions,easy,Shirley MacLaine
741,Shirley MacLaine has collaborated with directors such as ___ and ___ throughout her career.,"Billy Wilder, Alfred Hitchcock",Career,medium,Shirley MacLaine
742,"Shirley MacLaine's key films include 'Terms of Endearment' (1983), 'Being There' (1979), and ___ (1989).",Steel Magnolias,Career,medium,Shirley MacLaine
743,"Shirley MacLaine has received numerous accolades, including the BAFTA Award, ___, and an Emmy Award.",Golden Globe Awards,Recognitions,medium,Shirley MacLaine
744,Shirley MacLaine is known for her outspoken views on ___ and metaphysics.,spirituality,Legacy,easy,Shirley MacLaine
745,"Shirley MacLaine's influence extends beyond film, as she has paved the way for ___ in Hollywood.",women,Legacy,easy,Shirley MacLaine
746,Shirley MacLaine's unique perspective and contributions to cinema and literature solidify her legacy as a ___ icon.,cultural,Legacy,hard,Shirley MacLaine
747,"Faye Dunaway was born in ___, Florida.",Bascom,Basic Info,easy,Faye Dunaway
748,"Dunaway has been married three times, first to ___, then to Terry Jastrow, and finally to John L. Smith.",Jesper Christensen,Early Life,medium,Faye Dunaway
749,Faye Dunaway received an Academy Award for her role in ___ (1974).,Chinatown,Career,easy,Faye Dunaway
750,Dunaway won three ___ Awards during her career.,Golden Globe,Recognitions,easy,Faye Dunaway
751,"Faye Dunaway's legacy is marked by her portrayal of ___, complex female characters.",strong,Legacy,easy,Faye Dunaway
752,Dunaway was raised in a strict ___ family.,Methodist,Early Life,medium,Faye Dunaway
753,Faye Dunaway collaborated with directors such as Arthur Penn and ___.,Roman Polanski,Career,medium,Faye Dunaway
754,Dunaway's controversial acceptance speech occurred at the ___ Academy Awards.,1977,Recognitions,hard,Faye Dunaway
755,Faye Dunaway has a son named ___ from her relationship with Terry Jastrow.,Liam Dunaway,Early Life,medium,Faye Dunaway
756,Dunaway's career spans over ___ decades.,six,Legacy,hard,Faye Dunaway
757,"Sigourney Weaver was born on ___ in New York City, New York.","October 8, 1949",Basic Info,easy,Sigourney Weaver
758,"Sigourney Weaver's father was ___, a prominent television producer.",George Henry Weaver,Early Life,easy,Sigourney Weaver
759,Weaver has been married to ___ since 1984.,Jim Simpson,Early Life,easy,Sigourney Weaver
760,Sigourney Weaver gained international fame for her role as ___ in the 'Alien' franchise.,Ellen Ripley,Career,easy,Sigourney Weaver
761,Weaver has collaborated with directors such as ___ and ___ in her career.,"James Cameron, Ridley Scott",Career,medium,Sigourney Weaver
762,"Throughout her career, Weaver has received ___ Academy Award nominations for Best Actress.",three,Recognitions,easy,Sigourney Weaver
763,Sigourney Weaver is widely regarded as a pioneer for women in ___ films.,action,Legacy,easy,Sigourney Weaver
764,Weaver's portrayal of Ripley has become ___ and continues to influence a new generation.,iconic,Legacy,medium,Sigourney Weaver
765,Weaver graduated from Stanford University with a B.A. in ___ and later earned her M.F.A. in acting from ___ University.,"English, Yale",Early Life,hard,Sigourney Weaver
766,"In addition to her film career, Weaver has frequently worked with ___ and ___ in theater.","playwrights, directors",Career,hard,Sigourney Weaver
767,"Sally Field was born on ___ in Pasadena, California.","November 6, 1946",Basic Info,easy,Sally Field
768,Sally Field's parents are Richard Dryden Field and ___ Field.,Margaret,Early Life,easy,Sally Field
769,Sally Field was married to Steven Craig from 1968 to ___ and later to Alan Greisman from 1984 to 1993.,1973,Early Life,easy,Sally Field
770,Sally Field gained recognition for her role in 'The Flying Nun' and won Academy Awards for Best Actress for her performances in '___' and '___'.,"Norma Rae, Places in the Heart",Career,medium,Sally Field
771,"Sally Field has received two Academy Awards, three Primetime Emmy Awards, and ___ Golden Globe Awards.",two,Recognitions,easy,Sally Field
772,"In 2003, Sally Field received the Screen Actors Guild ___ Achievement Award.",Lifetime,Recognitions,easy,Sally Field
773,Sally Field's legacy is marked by her ability to navigate both ___ and ___ roles.,"comedic, dramatic",Legacy,medium,Sally Field
774,Sally Field is often cited as a pioneering figure for ___ in the entertainment industry.,women,Legacy,easy,Sally Field
775,Sally Field's career began with her role in the television series '___' in the 1960s.,Gidget,Career,easy,Sally Field
776,Sally Field has collaborated with notable actors such as Burt Reynolds in 'Smokey and the Bandit' and worked with acclaimed filmmaker ___ ___ .,Martin Ritt,Career,hard,Sally Field
777,"Sissy Spacek was born in ___, Texas, on December 25, 1949.",Quitman,Basic Info,easy,Sissy Spacek
778,Sissy Spacek is married to ___ since 1974.,Jack Fisk,Early Life,easy,Sissy Spacek
779,Sissy Spacek achieved critical acclaim for her performance in ___ (1976).,Carrie,Career,easy,Sissy Spacek
780,Sissy Spacek portrayed ___ in 'Coal Miner's Daughter' (1980).,Loretta Lynn,Career,medium,Sissy Spacek
781,"Sissy Spacek has received an ___ Award, a BAFTA Award, and multiple Emmy Awards.",Academy,Recognitions,easy,Sissy Spacek
782,Sissy Spacek has two daughters named ___ and ___ Fisk.,"Schuyler, Madison",Early Life,medium,Sissy Spacek
783,Sissy Spacek began her career in the early ___ and rose to prominence with her role in 'Badlands' (1973).,1970s,Career,medium,Sissy Spacek
784,Sissy Spacek was honored with a star on the ___ in 2011.,Hollywood Walk of Fame,Recognitions,medium,Sissy Spacek
785,"Sissy Spacek is celebrated for her versatility and depth as an actress, often embodying ___ characters with emotional nuance.",complex,Legacy,hard,Sissy Spacek
786,"Sissy Spacek's work has garnered critical acclaim and a dedicated ___, ensuring her legacy in the film industry.",fanbase,Legacy,hard,Sissy Spacek
787,"Diane Lane was born in ___ on January 22, 1965.",New York City,Basic Info,easy,Diane Lane
788,"Diane Lane's father, Burton Eugene Lane, was a ___ and her mother, Colleen Farrington, was a ___ singer and model.","businessman, nightclub",Early Life,medium,Diane Lane
789,Diane Lane was married to actor Christopher Lambert from ___ to ___.,"1995, 2003",Early Life,medium,Diane Lane
790,Diane Lane made her film debut in ___ and gained acclaim for her roles in ___ and ___.,"A Little Romance, Out of Sight, Unfaithful",Career,hard,Diane Lane
791,Diane Lane received an Academy Award nomination for Best Actress for her role in ___.,Unfaithful,Recognitions,easy,Diane Lane
792,"Diane Lane portrayed Cleo Adams, wife of blacklisted screenwriter Dalton Trumbo, in the film ___.",Trumbo,Recognitions,easy,Diane Lane
793,Diane Lane was honored with a star on the Hollywood Walk of Fame in ___.,2003,Recognitions,easy,Diane Lane
794,"Diane Lane is known for her depth and emotional range, which has earned her a lasting place in the ___.",industry,Legacy,easy,Diane Lane
795,"Diane Lane's body of work continues to be celebrated, leaving a significant mark on both contemporary cinema and ___ culture.",popular,Legacy,medium,Diane Lane
796,"Michelle Pfeiffer was born on ___ in Santa Ana, California.","April 29, 1958",Basic Info,easy,Michelle Pfeiffer
797,Michelle Pfeiffer was married to actor ___ from 1981 to 1988.,Peter Horton,Early Life,easy,Michelle Pfeiffer
798,"Michelle Pfeiffer has two adopted children, Claudia Rose (adopted in ___) and John Henry (adopted in ___).","1993, 1994",Early Life,medium,Michelle Pfeiffer
799,Pfeiffer gained critical acclaim for her roles in 'The Fabulous Baker Boys' (___) and 'The Age of Innocence' (___).,"1989, 1993",Career,medium,Michelle Pfeiffer
800,Michelle Pfeiffer is well-known for her portrayal of ___ in 'Batman Returns' (1992).,Catwoman,Career,easy,Michelle Pfeiffer
801,"In ___, Michelle Pfeiffer was awarded a star on the Hollywood Walk of Fame.",1990,Recognitions,easy,Michelle Pfeiffer
802,Pfeiffer received praise for her roles in 'The Wizard of Lies' (___) and 'French Exit' (___).,"2017, 2020",Recognitions,medium,Michelle Pfeiffer
803,"Michelle Pfeiffer is regarded as one of the finest actresses in Hollywood, known for her ___ and ___ across a wide range of genres.","versatility, depth",Legacy,medium,Michelle Pfeiffer
804,Her performances have influenced numerous actresses and shaped ___ cinema.,contemporary,Legacy,hard,Michelle Pfeiffer
805,Michelle Pfeiffer's career took off in the early ___ with key performances in films like 'Scarface' and 'The Witches of Eastwick'.,1980s,Career,easy,Michelle Pfeiffer
806,"Julianne Moore was born on ___ in Fort Bragg, North Carolina.","December 3, 1960",Basic Info,easy,Julianne Moore
807,Julianne Moore's mother was a ___ and her father was a military officer.,social worker,Early Life,easy,Julianne Moore
808,"Julianne Moore is married to ___, a director and writer.",Bart Freundlich,Early Life,easy,Julianne Moore
809,"Julianne Moore gained recognition for her roles in films such as 'Boogie Nights,' 'Magnolia,' and ___ which earned her an Academy Award for Best Actress.",Still Alice,Career,medium,Julianne Moore
810,"Throughout her career, Julianne Moore has collaborated with filmmakers such as Paul Thomas Anderson, ___, and David Cronenberg.",Todd Haynes,Career,medium,Julianne Moore
811,"Julianne Moore has received numerous awards including the Academy Award, multiple Golden Globe Awards, and a star on the ___ .",Hollywood Walk of Fame,Recognitions,medium,Julianne Moore
812,Julianne Moore received the Best Actress award at the Cannes Film Festival for her role in '___.',Map to the Stars,Recognitions,medium,Julianne Moore
813,"Moore is celebrated for her emotional authenticity, depth of character portrayal, and advocacy for ___ rights in Hollywood.",women's,Legacy,easy,Julianne Moore
814,"Julianne Moore is regarded as one of the finest actresses of her generation, known for her commitment to her craft and the ___ she brings to her characters.",complexity,Legacy,easy,Julianne Moore
815,Julianne Moore graduated from the ___ School of the Arts at New York University.,Tisch,Early Life,hard,Julianne Moore
816,"Emma Thompson was born in ___, London, on April 15, 1959.",Paddington,Basic Info,easy,Emma Thompson
817,"Emma Thompson's father, Eric Thompson, was a television producer and ___.",writer,Early Life,easy,Emma Thompson
818,Emma Thompson was married to actor ___ from 1989 to 1995.,Kenneth Branagh,Early Life,medium,Emma Thompson
819,Emma Thompson studied English literature at ___ College.,Newnham,Early Life,medium,Emma Thompson
820,Emma Thompson has received two Academy Awards for Best ___ and Best Actress.,Adapted Screenplay,Recognitions,hard,Emma Thompson
821,Emma Thompson collaborated frequently with Kenneth Branagh on films such as '___' and 'Much Ado About Nothing.',Henry V,Career,medium,Emma Thompson
822,Emma Thompson was honored with a Damehood in ___ for her services to drama and charity.,2018,Recognitions,easy,Emma Thompson
823,Emma Thompson's work in 'Sense and Sensibility' earned her an ___ and established her as a leading actress.,Oscar,Recognitions,medium,Emma Thompson
824,"Emma Thompson is celebrated for her wit, intelligence, and commitment to the arts, influencing a generation of ___ and writers.",actors,Legacy,easy,Emma Thompson
825,Emma Thompson's advocacy includes social issues such as gender equality and ___.,environmentalism,Legacy,medium,Emma Thompson
826,"Kate Winslet was born on ___ in Reading, Berkshire, England.","October 5, 1975",Basic Info,easy,Kate Winslet
827,Kate Winslet has a younger sister named ___ and a younger brother named ___.,"Beth Winslet, Joss Winslet",Early Life,medium,Kate Winslet
828,Kate Winslet was married to Jim Threapleton from ___ to ___ and later to Sam Mendes from ___ to ___.,"1998, 2001, 2003, 2010",Early Life,hard,Kate Winslet
829,Winslet gained international fame with her role as ___ in James Cameron's film 'Titanic' (1997).,Rose DeWitt Bukater,Career,easy,Kate Winslet
830,Kate Winslet received an Academy Award for Best Actress for her performance in ___ (2008).,The Reader,Career,easy,Kate Winslet
831,"In 2014, Winslet received a star on the ___ for her contributions to film.",Hollywood Walk of Fame,Recognitions,easy,Kate Winslet
832,"Kate Winslet is known for advocating for issues such as ___, environmental conservation, and support for mental health.",body positivity,Recognitions,medium,Kate Winslet
833,Kate Winslet is celebrated for breaking stereotypes and championing ___ in acting.,authenticity,Legacy,hard,Kate Winslet
834,Kate Winslet's body of work has significantly influenced contemporary ___ and she is regarded as one of the most talented actresses of her generation.,cinema,Legacy,medium,Kate Winslet
835,"Kate Winslet has three children: Mia Honey Threapleton, Joe Alfie Winslet Mendes, and ___ Blaze Winslet.",Bear,Early Life,easy,Kate Winslet
836,"Natalie Portman was born in ___ on June 9, 1981.","Jerusalem, Israel",Basic Info,easy,Natalie Portman
837,Natalie Portman's father is an Israeli doctor named ___.,Avner Hershlag,Early Life,easy,Natalie Portman
838,Natalie Portman graduated from ___ University with a degree in psychology.,Harvard,Early Life,medium,Natalie Portman
839,In which film did Natalie Portman win an Academy Award for her performance?,Black Swan,Career,easy,Natalie Portman
840,Natalie Portman collaborated with director ___ on the film 'Black Swan'.,Darren Aronofsky,Career,medium,Natalie Portman
841,Natalie Portman has two children named ___ and ___.,"Aleph, Amalia",Early Life,medium,Natalie Portman
842,Natalie Portman is an advocate for women's rights and ___ conservation.,environmental,Recognitions,hard,Natalie Portman
843,"In addition to her Academy Award, Natalie Portman has received ___ and ___ Awards.","Golden Globe, BAFTA",Recognitions,hard,Natalie Portman
844,Natalie Portman starred in the 'Star Wars' prequel trilogy and the film ___ (2016).,Jackie,Career,medium,Natalie Portman
845,Natalie Portman is recognized for her versatility as an actress and her commitment to ___.,social activism,Legacy,hard,Natalie Portman
846,"Charlize Theron was born on ___ in Benoni, South Africa.","August 7, 1975",Basic Info,easy,Charlize Theron
847,"Charlize's mother is Gerda Maritz, and her father, Charles Theron, was of ___ descent.",French,Early Life,medium,Charlize Theron
848,Charlize Theron won an Academy Award for Best Actress for her role in ___ (2003).,Monster,Career,easy,Charlize Theron
849,Charlize Theron has two adopted children named ___ and ___.,"Jackson, August",Early Life,medium,Charlize Theron
850,Charlize Theron has collaborated with filmmaker ___ in 'Mad Max: Fury Road'.,George Miller,Career,hard,Charlize Theron
851,"In addition to her acting career, Theron is known for her activism, particularly in advocating for ___ and domestic violence awareness.",women's rights,Recognitions,medium,Charlize Theron
852,"Charlize Theron has produced numerous films through her production company, ___ and ___ Productions.","Denver, Delilah",Career,hard,Charlize Theron
853,"Charlize Theron has received multiple accolades, including an Academy Award, ___ Awards, and a ___ Award.","Golden Globe, Primetime Emmy",Recognitions,hard,Charlize Theron
854,Charlize Theron grew up on a remote farm outside ___ and developed a passion for dance.,Benoni,Early Life,easy,Charlize Theron
855,"Charlize Theron is celebrated for her contributions to the film industry and her commitment to social causes, particularly in championing ___ and women's rights.",diversity,Legacy,medium,Charlize Theron
856,"Sandra Bullock was born in ___, Virginia, on July 26, 1964.",Arlington,Basic Info,easy,Sandra Bullock
857,"Sandra Bullock's father, ___, was a voice teacher.",John W. Bullock,Early Life,easy,Sandra Bullock
858,"Sandra Bullock has one sister named ___, who is a film producer and author.",Gesine Bullock-Prado,Early Life,medium,Sandra Bullock
859,Sandra Bullock was married to ___ from 2005 until their divorce in 2010.,Jesse James,Early Life,easy,Sandra Bullock
860,"In the film ___ (2013), Sandra Bullock received an Academy Award nomination.",Gravity,Career,easy,Sandra Bullock
861,Sandra Bullock starred alongside ___ in the film 'The Proposal' (2009).,Ryan Reynolds,Career,medium,Sandra Bullock
862,Sandra Bullock won the Academy Award for Best Actress for her role in ___ (2009).,The Blind Side,Recognitions,easy,Sandra Bullock
863,"In 2010, Sandra Bullock won both the Best Actress Oscar and the ___ for Worst Actress.",Golden Raspberry Award,Recognitions,medium,Sandra Bullock
864,"Sandra Bullock is known for her versatility in genres, including ___ films and romantic comedies.",action,Legacy,medium,Sandra Bullock
865,Sandra Bullock is regarded as one of the ___ actresses in the world.,highest-paid,Legacy,easy,Sandra Bullock
866,"Reese Witherspoon was born on ___ in Baton Rouge, Louisiana.","March 22, 1976",Basic Info,easy,Reese Witherspoon
867,"Reese Witherspoon is the daughter of Dr. John Witherspoon, a military surgeon, and ___ Witherspoon, a nursing professor.",Mary Elizabeth 'Liz',Early Life,medium,Reese Witherspoon
868,Witherspoon was married to ___ from 1999 to 2007.,Ryan Phillippe,Early Life,easy,Reese Witherspoon
869,Reese Witherspoon gained widespread recognition with her performance in ___ (2001).,Legally Blonde,Career,easy,Reese Witherspoon
870,Witherspoon won an Academy Award for Best Actress for her portrayal of ___ in 'Walk the Line' (2005).,June Carter Cash,Career,medium,Reese Witherspoon
871,"Reese Witherspoon co-founded the production company ___, which focuses on female-driven content.",Hello Sunshine,Career,easy,Reese Witherspoon
872,Witherspoon received a star on the Hollywood Walk of Fame in ___.,2010,Recognitions,easy,Reese Witherspoon
873,Reese Witherspoon has won ___ Awards and Primetime Emmy Awards throughout her career.,Golden Globe,Recognitions,medium,Reese Witherspoon
874,Reese Witherspoon is regarded as a trailblazer for female actors and ___ in the entertainment industry.,producers,Legacy,easy,Reese Witherspoon
875,Her ability to blend commercial success with meaningful narratives has reshaped the landscape of ___ media.,modern,Legacy,hard,Reese Witherspoon
876,"Angelina Jolie was born on ___ in Los Angeles, California.","June 4, 1975",Basic Info,easy,Angelina Jolie
877,Jolie's parents are actors ___ and ___.,"Jon Voight, Marcheline Bertrand",Early Life,medium,Angelina Jolie
878,"Angelina Jolie has ___ children, three of whom were adopted.",six,Early Life,easy,Angelina Jolie
879,Jolie won an Academy Award for Best Supporting Actress for her role in ___ and ___ in the late 1990s.,"Gia, Girl, Interrupted",Career,medium,Angelina Jolie
880,Jolie has directed critically acclaimed films such as ___ and ___.,"In the Land of Blood and Honey, Unbroken",Career,medium,Angelina Jolie
881,Angelina Jolie has received the ___ for her humanitarian work.,Jean Hersholt Humanitarian Award,Recognitions,easy,Angelina Jolie
882,Jolie has served as a Goodwill Ambassador and later as a ___ for the UNHCR.,Special Envoy,Legacy,medium,Angelina Jolie
883,"Angelina Jolie's humanitarian work has made her a prominent figure, inspiring many to engage in ___ and highlighting the responsibility of public figures.",social causes,Legacy,hard,Angelina Jolie
884,Jolie was married to actor ___ from 2014 to 2016.,Brad Pitt,Early Life,easy,Angelina Jolie
885,"Growing up, Jolie faced challenges including her parents' divorce and struggles with ___.",bullying,Early Life,medium,Angelina Jolie
886,"Anne Hathaway was born on ___ in Brooklyn, New York City.","November 12, 1982",Basic Info,easy,Anne Hathaway
887,"Anne Hathaway is married to ___, a producer and actor, since 2012.",Adam Shulman,Early Life,easy,Anne Hathaway
888,Hathaway gained fame with her role in Disney's ___ (2001).,The Princess Diaries,Career,easy,Anne Hathaway
889,Anne Hathaway won an Academy Award for Best Supporting Actress for her performance in ___ (2012).,Les Misérables,Career,medium,Anne Hathaway
890,Hathaway has been recognized for her advocacy work related to ___ and ___ issues.,"women's rights, LGBTQ+",Recognitions,medium,Anne Hathaway
891,Anne Hathaway attended ___ High School in New Jersey before studying at Vassar College.,Millburn,Early Life,medium,Anne Hathaway
892,Hathaway collaborated with director Christopher Nolan in ___ and ___.,"The Dark Knight Rises, Interstellar",Career,hard,Anne Hathaway
893,Anne Hathaway's legacy includes her ability to transition between various genres and her dedication to ___ and ___.,"philanthropy, advocacy",Legacy,hard,Anne Hathaway
894,"In 2013, Hathaway highlighted the importance of ___ in the entertainment industry during her Oscars acceptance speech.",equality,Recognitions,hard,Anne Hathaway
895,Anne Hathaway has two siblings: an older brother named ___ and a younger brother named ___.,"Tom, Jonathan",Early Life,hard,Anne Hathaway
896,"Amy Adams was born in ___, Colorado.",Castle Rock,Basic Info,easy,Amy Adams
897,Amy Adams has ___ siblings.,six,Early Life,easy,Amy Adams
898,Adams married ___ in 2015.,Darren Le Gallo,Early Life,easy,Amy Adams
899,Amy Adams gained recognition for her role in ___ (2005).,Junebug,Career,easy,Amy Adams
900,Adams collaborated with director ___ on 'American Hustle' (2013).,David O. Russell,Career,easy,Amy Adams
901,Amy Adams has received several ___ Awards and Academy Award nominations.,Golden Globe,Recognitions,easy,Amy Adams
902,Adams is known for her ability to embody a wide variety of characters with ___ and depth.,authenticity,Legacy,medium,Amy Adams
903,"Amy Adams was born on ___ 20, 1974.",August,Basic Info,medium,Amy Adams
904,Adams has one daughter named ___ Olea Le Gallo.,Aviana,Early Life,medium,Amy Adams
905,Adams starred in 'Doubt' (2008) and ___ (2016).,Arrival,Career,medium,Amy Adams
906,Amy Adams is regarded as one of the finest actresses in ___ cinema.,contemporary,Legacy,medium,Amy Adams
907,Adams graduated from ___ County High School.,Douglas,Early Life,hard,Amy Adams
908,"Adams has collaborated with David O. Russell on multiple projects, including 'The Fighter' and ___ (2013).",American Hustle,Career,hard,Amy Adams
909,"Throughout her career, Adams has participated in high-profile events like the ___ Awards.",Academy,Recognitions,hard,Amy Adams
910,"Amy Adams showed a passion for performing from a young age, participating in school plays and ___ theater.",musical,Early Life,hard,Amy Adams
911,Adams has been recognized as one of the most talented actresses of her ___ generation.,generation,Recognitions,hard,Amy Adams
912,"Jennifer Lawrence was born on ___ in Louisville, Kentucky.","August 15, 1990",Basic Info,easy,Jennifer Lawrence
913,Jennifer Lawrence has two older brothers named ___ and ___.,"Ben, Blaine",Early Life,medium,Jennifer Lawrence
914,Jennifer Lawrence made her film debut in ___ (2008).,Garden Party,Career,easy,Jennifer Lawrence
915,Jennifer Lawrence won an Oscar for Best Actress for ___ (2012).,Silver Linings Playbook,Career,easy,Jennifer Lawrence
916,"In addition to her Oscar win, Jennifer Lawrence has received ___ Golden Globe Awards.",three,Recognitions,easy,Jennifer Lawrence
917,"Jennifer Lawrence married ___, an art gallery director, in October 2019.",Cooke Maroney,Early Life,easy,Jennifer Lawrence
918,Jennifer Lawrence's role as ___ in 'The Hunger Games' series made her a household name.,Katniss Everdeen,Career,medium,Jennifer Lawrence
919,Jennifer Lawrence dropped out of school at ___ to pursue her acting career.,14,Early Life,medium,Jennifer Lawrence
920,"Jennifer Lawrence has been a strong advocate for women's rights, particularly addressing the ___ in Hollywood.",gender pay gap,Legacy,hard,Jennifer Lawrence
921,Jennifer Lawrence collaborated with director ___ on 'American Hustle' (2013) and 'Joy' (2015).,David O. Russell,Career,medium,Jennifer Lawrence
922,"Scarlett Johansson was born on ___ in New York City, New York.","November 22, 1984",Basic Info,easy,Scarlett Johansson
923,Scarlett has a twin brother named ___ and an older sister named ___ .,"Hunter Johansson, Vanessa",Early Life,medium,Scarlett Johansson
924,Scarlett Johansson was previously married to ___ from 2008 to 2011 and later to ___ in 2020.,"Ryan Reynolds, Colin Jost",Early Life,medium,Scarlett Johansson
925,Scarlett Johansson's breakout role was in ___ at the age of 13.,The Horse Whisperer,Early Life,easy,Scarlett Johansson
926,Scarlett Johansson has received a Tony Award for Best Featured Actress in a Play for her performance in ___ .,A View from the Bridge,Recognitions,easy,Scarlett Johansson
927,Scarlett Johansson is known for her role as ___ in the Marvel Cinematic Universe.,Natasha Romanoff/Black Widow,Career,easy,Scarlett Johansson
928,"In 2018, Scarlett Johansson was named the world's ___ actress.",highest-paid,Recognitions,easy,Scarlett Johansson
929,Scarlett Johansson has collaborated with directors like ___ and ___ .,"Woody Allen, Jojo Moyes",Career,medium,Scarlett Johansson
930,Scarlett Johansson has two children: a daughter named ___ and a son named ___.,"Rose Dorothy Dauriac, Cosmo Jost",Early Life,medium,Scarlett Johansson
931,Scarlett Johansson's legacy includes breaking barriers as a female superhero in a predominantly ___ landscape.,male-dominated,Legacy,hard,Scarlett Johansson
932,"Emily Blunt was born in ___, London, England on February 23, 1983.",Wandsworth,Basic Info,easy,Emily Blunt
933,"Emily Blunt is married to actor ___, whom she wed in July 2010.",John Krasinski,Early Life,easy,Emily Blunt
934,Emily Blunt has two daughters named ___ and ___.,"Hazel, Violet",Early Life,medium,Emily Blunt
935,Emily Blunt gained early recognition for her role in the 2006 film '___'.,The Devil Wears Prada,Career,easy,Emily Blunt
936,Emily Blunt was nominated for an Academy Award for Best Supporting Actress for her role in '___'.,A Quiet Place,Recognitions,medium,Emily Blunt
937,Emily Blunt collaborated with director ___ in 'Edge of Tomorrow'.,Christopher Nolan,Career,hard,Emily Blunt
938,"Emily Blunt has received a Golden Globe Award, Screen Actors Guild Awards, and ___ nominations.",BAFTA,Recognitions,medium,Emily Blunt
939,Emily Blunt attended ___ Place School and later trained at the Bristol Old Vic Theatre School.,Ibstock,Early Life,hard,Emily Blunt
940,Emily Blunt is recognized for her ability to navigate both ___ and ___ roles effectively.,"dramatic, comedic",Legacy,medium,Emily Blunt
941,Emily Blunt was awarded the BIFA Award for Best Supporting Actress for her role in '___'.,The Devil Wears Prada,Recognitions,hard,Emily Blunt
942,"Rachel Weisz was born on ___ in Westminster, London, England.","March 7, 1970",Basic Info,easy,Rachel Weisz
943,"Rachel Weisz's father, George Weisz, was a ___ immigrant.",Hungarian Jewish,Early Life,easy,Rachel Weisz
944,"Rachel Weisz has one son named ___, born in May 2006.",Henry Chance Aronofsky,Early Life,easy,Rachel Weisz
